date_id,date,year,month,day,quarter,week,is_holiday
178,2019-06-27,2019,6,27,2,25,0
179,2019-06-28,2019,6,28,2,25,0
180,2019-06-29,2019,6,29,2,25,0
181,2019-06-30,2019,6,30,2,26,0
182,2019-07-01,2019,7,1,3,26,0
183,2019-07-02,2019,7,2,3,26,0
184,2019-07-03,2019,7,3,3,26,0
185,2019-07-04,2019,7,4,3,26,0
186,2019-07-05,2019,7,5,3,26,0
187,2019-07-06,2019,7,6,3,26,0
188,2019-07-07,2019,7,7,3,27,0
189,2019-07-08,2019,7,8,3,27,0
190,2019-07-09,2019,7,9,3,27,0
191,2019-07-10,2019,7,10,3,27,0
192,2019-07-11,2019,7,11,3,27,0
193,2019-07-12,2019,7,12,3,27,0
194,2019-07-13,2019,7,13,3,27,0
195,2019-07-14,2019,7,14,3,28,0
196,2019-07-15,2019,7,15,3,28,0
197,2019-07-16,2019,7,16,3,28,0
198,2019-07-17,2019,7,17,3,28,0
199,2019-07-18,2019,7,18,3,28,0
200,2019-07-19,2019,7,19,3,28,0
201,2019-07-20,2019,7,20,3,28,0
202,2019-07-21,2019,7,21,3,29,0
203,2019-07-22,2019,7,22,3,29,0
204,2019-07-23,2019,7,23,3,29,0
205,2019-07-24,2019,7,24,3,29,0
206,2019-07-25,2019,7,25,3,29,0
207,2019-07-26,2019,7,26,3,29,0
208,2019-07-27,2019,7,27,3,29,0
209,2019-07-28,2019,7,28,3,30,0
210,2019-07-29,2019,7,29,3,30,0
211,2019-07-30,2019,7,30,3,30,0
212,2019-07-31,2019,7,31,3,30,0
213,2019-08-01,2019,8,1,3,30,0
214,2019-08-02,2019,8,2,3,30,0
215,2019-08-03,2019,8,3,3,30,0
216,2019-08-04,2019,8,4,3,31,0
217,2019-08-05,2019,8,5,3,31,0
218,2019-08-06,2019,8,6,3,31,0
219,2019-08-07,2019,8,7,3,31,0
220,2019-08-08,2019,8,8,3,31,0
221,2019-08-09,2019,8,9,3,31,0
222,2019-08-10,2019,8,10,3,31,0
223,2019-08-11,2019,8,11,3,32,0
224,2019-08-12,2019,8,12,3,32,0
225,2019-08-13,2019,8,13,3,32,0
226,2019-08-14,2019,8,14,3,32,0
227,2019-08-15,2019,8,15,3,32,0
228,2019-08-16,2019,8,16,3,32,0
229,2019-08-17,2019,8,17,3,32,0
230,2019-08-18,2019,8,18,3,33,0
231,2019-08-19,2019,8,19,3,33,0
232,2019-08-20,2019,8,20,3,33,0
233,2019-08-21,2019,8,21,3,33,0
234,2019-08-22,2019,8,22,3,33,0
235,2019-08-23,2019,8,23,3,33,0
236,2019-08-24,2019,8,24,3,33,0
237,2019-08-25,2019,8,25,3,34,0
238,2019-08-26,2019,8,26,3,34,0
239,2019-08-27,2019,8,27,3,34,0
240,2019-08-28,2019,8,28,3,34,0
241,2019-08-29,2019,8,29,3,34,0
242,2019-08-30,2019,8,30,3,34,0
243,2019-08-31,2019,8,31,3,34,0
244,2019-09-01,2019,9,1,3,35,0
245,2019-09-02,2019,9,2,3,35,0
246,2019-09-03,2019,9,3,3,35,0
247,2019-09-04,2019,9,4,3,35,0
248,2019-09-05,2019,9,5,3,35,0
249,2019-09-06,2019,9,6,3,35,0
250,2019-09-07,2019,9,7,3,35,0
251,2019-09-08,2019,9,8,3,36,0
252,2019-09-09,2019,9,9,3,36,0
253,2019-09-10,2019,9,10,3,36,0
254,2019-09-11,2019,9,11,3,36,0
255,2019-09-12,2019,9,12,3,36,0
256,2019-09-13,2019,9,13,3,36,0
257,2019-09-14,2019,9,14,3,36,0
258,2019-09-15,2019,9,15,3,37,0
259,2019-09-16,2019,9,16,3,37,0
260,2019-09-17,2019,9,17,3,37,0
261,2019-09-18,2019,9,18,3,37,0
262,2019-09-19,2019,9,19,3,37,0
263,2019-09-20,2019,9,20,3,37,0
264,2019-09-21,2019,9,21,3,37,0
265,2019-09-22,2019,9,22,3,38,0
266,2019-09-23,2019,9,23,3,38,0
267,2019-09-24,2019,9,24,3,38,0
268,2019-09-25,2019,9,25,3,38,0
269,2019-09-26,2019,9,26,3,38,0
270,2019-09-27,2019,9,27,3,38,0
271,2019-09-28,2019,9,28,3,38,0
272,2019-09-29,2019,9,29,3,39,0
273,2019-09-30,2019,9,30,3,39,0
274,2019-10-01,2019,10,1,4,39,0
275,2019-10-02,2019,10,2,4,39,0
276,2019-10-03,2019,10,3,4,39,0
277,2019-10-04,2019,10,4,4,39,0
278,2019-10-05,2019,10,5,4,39,0
279,2019-10-06,2019,10,6,4,40,0
280,2019-10-07,2019,10,7,4,40,0
281,2019-10-08,2019,10,8,4,40,0
282,2019-10-09,2019,10,9,4,40,0
283,2019-10-10,2019,10,10,4,40,0
284,2019-10-11,2019,10,11,4,40,0
285,2019-10-12,2019,10,12,4,40,0
286,2019-10-13,2019,10,13,4,41,0
287,2019-10-14,2019,10,14,4,41,0
288,2019-10-15,2019,10,15,4,41,0
289,2019-10-16,2019,10,16,4,41,0
290,2019-10-17,2019,10,17,4,41,0
291,2019-10-18,2019,10,18,4,41,0
292,2019-10-19,2019,10,19,4,41,0
293,2019-10-20,2019,10,20,4,42,0
294,2019-10-21,2019,10,21,4,42,0
295,2019-10-22,2019,10,22,4,42,0
296,2019-10-23,2019,10,23,4,42,0
297,2019-10-24,2019,10,24,4,42,0
298,2019-10-25,2019,10,25,4,42,0
299,2019-10-26,2019,10,26,4,42,0
300,2019-10-27,2019,10,27,4,43,0
301,2019-10-28,2019,10,28,4,43,0
302,2019-10-29,2019,10,29,4,43,0
303,2019-10-30,2019,10,30,4,43,0
304,2019-10-31,2019,10,31,4,43,0
305,2019-11-01,2019,11,1,4,43,0
306,2019-11-02,2019,11,2,4,43,0
307,2019-11-03,2019,11,3,4,44,0
308,2019-11-04,2019,11,4,4,44,0
309,2019-11-05,2019,11,5,4,44,0
310,2019-11-06,2019,11,6,4,44,0
311,2019-11-07,2019,11,7,4,44,0
312,2019-11-08,2019,11,8,4,44,0
313,2019-11-09,2019,11,9,4,44,0
314,2019-11-10,2019,11,10,4,45,0
315,2019-11-11,2019,11,11,4,45,0
316,2019-11-12,2019,11,12,4,45,0
317,2019-11-13,2019,11,13,4,45,0
318,2019-11-14,2019,11,14,4,45,0
319,2019-11-15,2019,11,15,4,45,0
320,2019-11-16,2019,11,16,4,45,0
321,2019-11-17,2019,11,17,4,46,0
322,2019-11-18,2019,11,18,4,46,0
323,2019-11-19,2019,11,19,4,46,0
324,2019-11-20,2019,11,20,4,46,0
325,2019-11-21,2019,11,21,4,46,0
326,2019-11-22,2019,11,22,4,46,0
327,2019-11-23,2019,11,23,4,46,0
328,2019-11-24,2019,11,24,4,47,0
329,2019-11-25,2019,11,25,4,47,0
330,2019-11-26,2019,11,26,4,47,0
331,2019-11-27,2019,11,27,4,47,0
332,2019-11-28,2019,11,28,4,47,0
333,2019-11-29,2019,11,29,4,47,0
334,2019-11-30,2019,11,30,4,47,0
335,2019-12-01,2019,12,1,4,48,0
336,2019-12-02,2019,12,2,4,48,0
337,2019-12-03,2019,12,3,4,48,0
338,2019-12-04,2019,12,4,4,48,0
339,2019-12-05,2019,12,5,4,48,0
340,2019-12-06,2019,12,6,4,48,0
341,2019-12-07,2019,12,7,4,48,0
342,2019-12-08,2019,12,8,4,49,0
343,2019-12-09,2019,12,9,4,49,0
344,2019-12-10,2019,12,10,4,49,0
345,2019-12-11,2019,12,11,4,49,0
346,2019-12-12,2019,12,12,4,49,0
347,2019-12-13,2019,12,13,4,49,0
348,2019-12-14,2019,12,14,4,49,0
349,2019-12-15,2019,12,15,4,50,0
350,2019-12-16,2019,12,16,4,50,0
351,2019-12-17,2019,12,17,4,50,0
352,2019-12-18,2019,12,18,4,50,0
353,2019-12-19,2019,12,19,4,50,0
354,2019-12-20,2019,12,20,4,50,0
355,2019-12-21,2019,12,21,4,50,0
356,2019-12-22,2019,12,22,4,51,0
357,2019-12-23,2019,12,23,4,51,0
358,2019-12-24,2019,12,24,4,51,1
359,2019-12-25,2019,12,25,4,51,1
360,2019-12-26,2019,12,26,4,51,0
361,2019-12-27,2019,12,27,4,51,0
362,2019-12-28,2019,12,28,4,51,0
363,2019-12-29,2019,12,29,4,52,0
364,2019-12-30,2019,12,30,4,52,0
365,2019-12-31,2019,12,31,4,52,1
366,2020-01-01,2020,1,1,1,0,0
367,2020-01-02,2020,1,2,1,0,0
368,2020-01-03,2020,1,3,1,0,0
369,2020-01-04,2020,1,4,1,0,0
370,2020-01-05,2020,1,5,1,1,0
371,2020-01-06,2020,1,6,1,1,0
372,2020-01-07,2020,1,7,1,1,0
373,2020-01-08,2020,1,8,1,1,0
374,2020-01-09,2020,1,9,1,1,0
375,2020-01-10,2020,1,10,1,1,0
376,2020-01-11,2020,1,11,1,1,0
377,2020-01-12,2020,1,12,1,2,0
378,2020-01-13,2020,1,13,1,2,0
379,2020-01-14,2020,1,14,1,2,0
380,2020-01-15,2020,1,15,1,2,0
381,2020-01-16,2020,1,16,1,2,0
382,2020-01-17,2020,1,17,1,2,0
383,2020-01-18,2020,1,18,1,2,0
384,2020-01-19,2020,1,19,1,3,0
385,2020-01-20,2020,1,20,1,3,0
386,2020-01-21,2020,1,21,1,3,0
387,2020-01-22,2020,1,22,1,3,0
388,2020-01-23,2020,1,23,1,3,0
389,2020-01-24,2020,1,24,1,3,0
390,2020-01-25,2020,1,25,1,3,0
391,2020-01-26,2020,1,26,1,4,0
392,2020-01-27,2020,1,27,1,4,0
393,2020-01-28,2020,1,28,1,4,0
394,2020-01-29,2020,1,29,1,4,0
395,2020-01-30,2020,1,30,1,4,0
396,2020-01-31,2020,1,31,1,4,0
397,2020-02-01,2020,2,1,1,4,0
398,2020-02-02,2020,2,2,1,5,0
399,2020-02-03,2020,2,3,1,5,0
400,2020-02-04,2020,2,4,1,5,0
401,2020-02-05,2020,2,5,1,5,0
402,2020-02-06,2020,2,6,1,5,0
403,2020-02-07,2020,2,7,1,5,0
404,2020-02-08,2020,2,8,1,5,0
405,2020-02-09,2020,2,9,1,6,0
406,2020-02-10,2020,2,10,1,6,0
407,2020-02-11,2020,2,11,1,6,0
408,2020-02-12,2020,2,12,1,6,0
409,2020-02-13,2020,2,13,1,6,0
410,2020-02-14,2020,2,14,1,6,0
411,2020-02-15,2020,2,15,1,6,0
412,2020-02-16,2020,2,16,1,7,0
413,2020-02-17,2020,2,17,1,7,0
414,2020-02-18,2020,2,18,1,7,0
415,2020-02-19,2020,2,19,1,7,0
416,2020-02-20,2020,2,20,1,7,0
417,2020-02-21,2020,2,21,1,7,0
418,2020-02-22,2020,2,22,1,7,0
419,2020-02-23,2020,2,23,1,8,0
420,2020-02-24,2020,2,24,1,8,0
421,2020-02-25,2020,2,25,1,8,0
422,2020-02-26,2020,2,26,1,8,0
423,2020-02-27,2020,2,27,1,8,0
424,2020-02-28,2020,2,28,1,8,0
425,2020-02-29,2020,2,29,1,8,0
426,2020-03-01,2020,3,1,1,9,0
427,2020-03-02,2020,3,2,1,9,0
428,2020-03-03,2020,3,3,1,9,0
429,2020-03-04,2020,3,4,1,9,0
430,2020-03-05,2020,3,5,1,9,0
431,2020-03-06,2020,3,6,1,9,0
432,2020-03-07,2020,3,7,1,9,0
433,2020-03-08,2020,3,8,1,10,0
434,2020-03-09,2020,3,9,1,10,0
435,2020-03-10,2020,3,10,1,10,0
436,2020-03-11,2020,3,11,1,10,0
437,2020-03-12,2020,3,12,1,10,0
438,2020-03-13,2020,3,13,1,10,0
439,2020-03-14,2020,3,14,1,10,0
440,2020-03-15,2020,3,15,1,11,0
441,2020-03-16,2020,3,16,1,11,0
442,2020-03-17,2020,3,17,1,11,0
443,2020-03-18,2020,3,18,1,11,0
444,2020-03-19,2020,3,19,1,11,0
445,2020-03-20,2020,3,20,1,11,0
446,2020-03-21,2020,3,21,1,11,0
447,2020-03-22,2020,3,22,1,12,0
448,2020-03-23,2020,3,23,1,12,0
449,2020-03-24,2020,3,24,1,12,0
450,2020-03-25,2020,3,25,1,12,0
451,2020-03-26,2020,3,26,1,12,0
452,2020-03-27,2020,3,27,1,12,0
453,2020-03-28,2020,3,28,1,12,0
454,2020-03-29,2020,3,29,1,13,0
455,2020-03-30,2020,3,30,1,13,0
456,2020-03-31,2020,3,31,1,13,0
457,2020-04-01,2020,4,1,2,13,0
458,2020-04-02,2020,4,2,2,13,0
459,2020-04-03,2020,4,3,2,13,0
460,2020-04-04,2020,4,4,2,13,0
461,2020-04-05,2020,4,5,2,14,0
462,2020-04-06,2020,4,6,2,14,0
463,2020-04-07,2020,4,7,2,14,0
464,2020-04-08,2020,4,8,2,14,0
465,2020-04-09,2020,4,9,2,14,0
466,2020-04-10,2020,4,10,2,14,0
467,2020-04-11,2020,4,11,2,14,0
468,2020-04-12,2020,4,12,2,15,0
469,2020-04-13,2020,4,13,2,15,0
470,2020-04-14,2020,4,14,2,15,0
471,2020-04-15,2020,4,15,2,15,0
472,2020-04-16,2020,4,16,2,15,0
473,2020-04-17,2020,4,17,2,15,0
474,2020-04-18,2020,4,18,2,15,0
475,2020-04-19,2020,4,19,2,16,0
476,2020-04-20,2020,4,20,2,16,0
477,2020-04-21,2020,4,21,2,16,0
478,2020-04-22,2020,4,22,2,16,0
479,2020-04-23,2020,4,23,2,16,0
480,2020-04-24,2020,4,24,2,16,0
481,2020-04-25,2020,4,25,2,16,0
482,2020-04-26,2020,4,26,2,17,0
483,2020-04-27,2020,4,27,2,17,0
484,2020-04-28,2020,4,28,2,17,0
485,2020-04-29,2020,4,29,2,17,0
486,2020-04-30,2020,4,30,2,17,0
487,2020-05-01,2020,5,1,2,17,0
488,2020-05-02,2020,5,2,2,17,0
489,2020-05-03,2020,5,3,2,18,0
490,2020-05-04,2020,5,4,2,18,0
491,2020-05-05,2020,5,5,2,18,0
492,2020-05-06,2020,5,6,2,18,0
493,2020-05-07,2020,5,7,2,18,0
494,2020-05-08,2020,5,8,2,18,0
495,2020-05-09,2020,5,9,2,18,0
496,2020-05-10,2020,5,10,2,19,0
497,2020-05-11,2020,5,11,2,19,0
498,2020-05-12,2020,5,12,2,19,0
499,2020-05-13,2020,5,13,2,19,0
500,2020-05-14,2020,5,14,2,19,0
501,2020-05-15,2020,5,15,2,19,0
502,2020-05-16,2020,5,16,2,19,0
503,2020-05-17,2020,5,17,2,20,0
504,2020-05-18,2020,5,18,2,20,0
505,2020-05-19,2020,5,19,2,20,0
506,2020-05-20,2020,5,20,2,20,0
507,2020-05-21,2020,5,21,2,20,0
508,2020-05-22,2020,5,22,2,20,0
509,2020-05-23,2020,5,23,2,20,0
510,2020-05-24,2020,5,24,2,21,0
511,2020-05-25,2020,5,25,2,21,0
512,2020-05-26,2020,5,26,2,21,0
513,2020-05-27,2020,5,27,2,21,0
514,2020-05-28,2020,5,28,2,21,0
515,2020-05-29,2020,5,29,2,21,0
516,2020-05-30,2020,5,30,2,21,0
517,2020-05-31,2020,5,31,2,22,0
518,2020-06-01,2020,6,1,2,22,0
519,2020-06-02,2020,6,2,2,22,0
520,2020-06-03,2020,6,3,2,22,0
521,2020-06-04,2020,6,4,2,22,0
522,2020-06-05,2020,6,5,2,22,0
523,2020-06-06,2020,6,6,2,22,0
524,2020-06-07,2020,6,7,2,23,0
525,2020-06-08,2020,6,8,2,23,0
526,2020-06-09,2020,6,9,2,23,0
527,2020-06-10,2020,6,10,2,23,0
528,2020-06-11,2020,6,11,2,23,0
529,2020-06-12,2020,6,12,2,23,0
530,2020-06-13,2020,6,13,2,23,0
531,2020-06-14,2020,6,14,2,24,0
532,2020-06-15,2020,6,15,2,24,0
533,2020-06-16,2020,6,16,2,24,0
534,2020-06-17,2020,6,17,2,24,0
535,2020-06-18,2020,6,18,2,24,0
536,2020-06-19,2020,6,19,2,24,0
537,2020-06-20,2020,6,20,2,24,0
538,2020-06-21,2020,6,21,2,25,0
539,2020-06-22,2020,6,22,2,25,0
540,2020-06-23,2020,6,23,2,25,0
541,2020-06-24,2020,6,24,2,25,0
542,2020-06-25,2020,6,25,2,25,0
543,2020-06-26,2020,6,26,2,25,0
544,2020-06-27,2020,6,27,2,25,0
545,2020-06-28,2020,6,28,2,26,0
546,2020-06-29,2020,6,29,2,26,0
547,2020-06-30,2020,6,30,2,26,0
548,2020-07-01,2020,7,1,3,26,0
549,2020-07-02,2020,7,2,3,26,0
550,2020-07-03,2020,7,3,3,26,0
551,2020-07-04,2020,7,4,3,26,0
552,2020-07-05,2020,7,5,3,27,0
553,2020-07-06,2020,7,6,3,27,0
554,2020-07-07,2020,7,7,3,27,0
555,2020-07-08,2020,7,8,3,27,0
556,2020-07-09,2020,7,9,3,27,0
557,2020-07-10,2020,7,10,3,27,0
558,2020-07-11,2020,7,11,3,27,0
559,2020-07-12,2020,7,12,3,28,0
560,2020-07-13,2020,7,13,3,28,0
561,2020-07-14,2020,7,14,3,28,0
562,2020-07-15,2020,7,15,3,28,0
563,2020-07-16,2020,7,16,3,28,0
564,2020-07-17,2020,7,17,3,28,0
565,2020-07-18,2020,7,18,3,28,0
566,2020-07-19,2020,7,19,3,29,0
567,2020-07-20,2020,7,20,3,29,0
568,2020-07-21,2020,7,21,3,29,0
569,2020-07-22,2020,7,22,3,29,0
570,2020-07-23,2020,7,23,3,29,0
571,2020-07-24,2020,7,24,3,29,0
572,2020-07-25,2020,7,25,3,29,0
573,2020-07-26,2020,7,26,3,30,0
574,2020-07-27,2020,7,27,3,30,0
575,2020-07-28,2020,7,28,3,30,0
576,2020-07-29,2020,7,29,3,30,0
577,2020-07-30,2020,7,30,3,30,0
578,2020-07-31,2020,7,31,3,30,0
579,2020-08-01,2020,8,1,3,30,0
